"  黃金谷
,# 125,"柳橙汁
Orange Juice",5.12a,運攀 | Sport,18 m,,,,●●●,Ti-TW,316-TW,Ti-TW,Ti-TW,Ti-TW,Ti-TW,Ti-TW,Ti-TW,,,,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,10,已拉測,2022 / 06 / 04 (週六),"[Pulltest]20220604 全線測試,bolt已清點(小虎 Nancy)
2013/08/24 - 由章醫師等人更新B02、A01/A02
2017/01/07 - 部分Bolt更新為Ti-TW (阿郎、芳源、景儒、小傑)
2017/01/19 - 切除舊304-AA (阿郎)
–
2018/12/22 - B02 合格 - 8 kN / 1 min / ×5次 (老爹、小虎)
2019/07/14 <橘子之旅> 拉測失敗，為安全起見連帶暫時封閉待測
2019/07/19 - Anchor 合格 - 8 kN / 1 min / ×5次 (小虎、阿明)"
,,,,,,,,,,2017 / 01 / 07,2013 / 08 / 24,2017 / 01 / 07,2017 / 01 / 07,2017 / 01 / 07,2017 / 01 / 07,2017 / 01 / 07,2017 / 01 / 07,,,,,,,,,,,2013 / 08 / 24,2013 / 08 / 24,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,8 年,12 年,8 年,8 年,8 年,8 年,8 年,8 年,,,,,,,,,,,12 年,12 年,,2021 / 02,2021 / 02,,,,
,,,,,,,,,,,2022 / 06 / 04,,,,,,,,,,,,,,,,,2022 / 06 / 04,2022 / 06 / 04,,,,,,,
,,,,,,,,,,,2018 / 12 / 22,,,,,,,,,,,,,,,,,2019 / 07 / 19,2019 / 07 / 19,,4 年,4 年,,,,
,# 126,"大南瓜
Great Pumpkin",5.11c,運攀 | Sport,18 m,,,,●●●,316-TW,316-TW,Ti-TW,Ti-TW,Ti-TW,Ti-TW,Ti-TW,Ti-TW,Ti-TW,Ti-TW,,,,,,,,,Ti-TW,316-TW,,A02不裝鋼環,,12,已拉測,2022 / 06 / 04 (週六),"[Pulltest]20220604 全線測試,bolt已清點(小虎 Nancy)
2013/08/24 - 由章醫師等人更新B01、B02、A02
2017/01/07 - 部分Bolt更新為Ti-TW (阿郎、芳源、景儒、小傑)
2017/01/19 - 切除舊304-AA (阿郎)
–
2018/12/22 - B01 合格 - 8 kN / 1 min / ×5次 (老爹、小虎)
2019/07/14 - <橘子之旅> 拉測失敗，為安全起見連帶暫時封閉待測
2019/07/19 - Anchor 合格 - 8 kN / 1 min / ×5次 (小虎、阿明)"
,,,,,,,,,,2013 / 08 / 24,2013 / 08 / 24,2017 / 01 / 07,2017 / 01 / 07,2017 / 01 / 07,2017 / 01 / 07,2017 / 01 / 07,2017 / 01 / 07,2017 / 01 / 07,2017 / 01 / 07,,,,,,,,,2017 / 01 / 07,2013 / 08 / 24,,,,,,,
,,,,,,,,,,12 年,12 年,8 年,8 年,8 年,8 年,8 年,8 年,8 年,8 年,,,,,,,,,8 年,12 年,,,,,,,
,,,,,,,,,,2022 / 06 / 04,2022 / 06 / 04,,,,,,,,,,,,,,,,,,2022 / 06 / 04,,,,,,,
,,,,,,,,,,2018 / 12 / 22,,,,,,,,,,,,,,,,,,,2019 / 07 / 19,,,,,,,
"黃金岩
Gold Wall",# 127.0,"冷壽司
Cold Sushi",5.10c,傳攀 | Trad,23 m,,,舊 Anchor 帶更新 (僅剩一顆Bolt，疑似為304)，需自行架設確保站，再以 <華西街> Anchor 垂降,●●●,,,,,,,,,,,,,,,,,,,316-FX,有壞掉的bolt,,,,2,待拉測,,Anchor 安裝日期待查 (預設為1月1日)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,
,# 128.0,"珍珠項鍊
PearlNecklace",5.10a,傳攀 | Trad,12 m,,,,●●●,,,,,,,,,,,,,,,,,,,Ti-U,Ti-U,,,,2,已更新,2016 / 04 / 26 (週二),Anchor 更新為 Ti-TW x2 (慶鑫/QX)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 / 04 / 26,2016 / 04 / 26,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 年,9 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 129.0,"需要檳榔
Bring the Betel Nut",5.12b,傳攀 | Trad,12 m,Marcelo Berti Lungo,2008 / 11,與 <珍珠項鍊> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 130.0,"黃金勇氣
Goldline",5.11a,傳攀 | Trad,12 m,,,與 <珍珠項鍊> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 131.0,"黃金浴
Golden Shower",5.9,傳攀 | Trad,23 m,,,原始路線⻑度為12m，更新後延⻑為23m,●●●,,,,,,,,,,,,,,,,,,,Ti-U,Ti-U,,,,2,已更新,2016 / 04 / 26 (週二),Anchor 更新為 Ti-TW x2 (慶鑫/QX)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 / 04 / 26,2016 / 04 / 26,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 年,9 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 132.0,"黃金菊
Goldenrod",5.10b,傳攀 | Trad,12 m,,,,●●●,,,,,,,,,,,,,,,,,,,Ti-U,Ti-U,,,,2,已更新,2016 / 04 / 26 (週二),Anchor 更新為 Ti-TW x2 (慶鑫/QX)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 / 04 / 26,2016 / 04 / 26,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 年,9 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 133.0,"金大支
Goldmember",5.9,傳攀 | Trad,12 m,,,與 <黃金菊> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 134.0,"黃金俱樂部
Gold Club",5.8,傳攀 | Trad,23 m,,,與 <黃金浴> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 135.0,"淘金客
Golddigger",5.10b,傳攀 | Trad,23 m,,,原始路線⻑度為12m，更新後延⻑為23m,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,,,2,已拉測,2022 / 07 / 26 (週二),"[Pulltest]2022/07/26 合格 (涵茹 聖峰 彥綸)
[Pulltest]B02 合格 - 8 kN / 1 min / ×5次 (小虎、天健、涵茹、Nancy)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 / 03 / 13,2011 / 03 / 13,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 / 07 / 26,2022 / 07 / 26,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 / 06 / 20,2019 / 06 / 20,,,,,,,
"黑岩
Black Wall",# 136.0,"金光
Nugget",5.7,傳攀 | Trad,23 m,,,路線頂端有鬆動岩⽯,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,2,已拉測,2022 / 07 / 26 (週二),"[Pulltest]2022/07/26 合格 (涵茹 聖峰 彥綸)
[Pulltest]B02 合格 - 8 kN / 1 min / ×5次 (小虎、天健、涵茹、Nancy)
Anchor 安裝日期待查 (預設為1月1日)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,2008,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 年,17 年,,2021 / 01,2021 / 01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 / 07 / 26,2022 / 07 / 26,,4 年,4 年,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 / 06 / 20,2019 / 06 / 20,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 / 06 / 30,2016 / 06 / 30,,,,,,,
,# 137.0,"閃閃
Glitter",5.8,傳攀 | Trad,23 m,,,"路線頂端有鬆動岩⽯
–
與 <金光> 共⽤ Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
