"  第二洞
  Second Cave",86,支 Bolt,51,條攀登路線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分區,路線編號,路線名稱,難度,路線種類,高度,首攀,首攀日期,路線資訊描述,安全評級,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,A01,A02,A03,Anchor配件,,Bolt統計,路線狀態,日期,備註
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 213,"中將湯
Zhong Jiang Soup",5.11c,運攀 | Sport,21 m,"張簡尚將
Shang-Chiang Changchien",2005 / 08 / 22,,●●●,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,Ti-ETN,Ti-TW,Ti-ETN,Ti-TW,Ti-ETN,Ti-ETN,Ti-ETN,Ti-TW,Ti-TW,Ti-TW,,,,,Ti-U,Ti-U,,羊角-Ti,羊角-Ti,16,已更新,2019 / 08 / 22 (週四),"[rebolt]2019/08/22 - B06、B08、B12、B13、B14更新為Ti-TW；於更高處新增一組Anchor (Ti-U + 羊角 x2) 將路線重新還原至原本舊路線高度；原A01、A02 (Ti-ETN + 羊角 x2) 標記為B10、B11。阿郎
[rebolt]2016 所有 Bolt 安裝日期均待查 (預設為1月1日) QX
 開發路線時僅設置Lead Bolt x8 + Anchor Bolt x2共10顆Bolt"
,,,,,,,,,,2016,2016,2016,2016,2016,2019 / 08 / 22,2016,2019 / 08 / 22,2016,2016,2016,2019 / 08 / 22,2019 / 08 / 22,2019 / 08 / 22,,,,,2019 / 08 / 22,2019 / 08 / 22,,2019 / 08 / 22,2019 / 08 / 22,,,,
,,,,,,,,,,9 年,9 年,9 年,9 年,9 年,6 年,9 年,6 年,9 年,9 年,9 年,6 年,6 年,6 年,,,,,6 年,6 年,,6 年,6 年,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 213.1,"右衛門
Uemon",5.9,傳攀 | Trad,,,,,●●●,,,,,,,,,,,,,,,,,,,Ti-TW,Ti-TW,,,,2,已更新,2020 / 10 / 01 (週四),[new] 2020/10/1 新設置路線 阿郎
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 / 10 / 01,2020 / 10 / 01,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 年,5 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"雨牆
Rain Wall",# 214,"幸運條紋
Lucky Streaks",5.8,傳攀 | Trad,10 m,,,,●●●,,,,,,,,,,,,,,,,,,,天然固定點,,,尼龍扁帶,梅隆鎖-316,1,已更新,2022 / 07 / 20 (週三),"[rebolt]2020/07/20 - 更新傘帶 3m x 2 條 (震宇、阿耿)
2019/11/06 - 移除老舊天然固定點，更新為：3m傘帶 x2 + 316梅隆鎖 x2 (震宇、Jam、阿振、暐博)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6m,數量 x2 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 / 07 / 20,2019 / 11 / 06,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 年,6 年,,,,
,# 215,"別把粉弄濕
Keep Your Powder Dry",5.8,傳攀 | Trad,9 m,,,與 <幸運條紋> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 216,"洞穴
Grotto",5.10b,傳攀 | Trad,9 m,,,,●●●,,,,,,,,,,,,,,,,,,,Ti-U,Ti-U,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,2016,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 年,9 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 217,"雨盒
Box of Rain",5.8,傳攀 | Trad,9 m,,,與 <洞穴> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 218,"祈雨舞
Rain Dance",5.7,傳攀 | Trad,9 m,,,與 <洞穴> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 219,"小雨來得不是時候
Rain on My Parade",5.6,傳攀 | Trad,9 m,,,與 <洞穴> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 220,"雨中曲
Singing in the Rain",5.5,傳攀 | Trad,9 m,,,與 <洞穴> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"王世鼎、呂龍年、麥覺明、Pierre-Yves Gerrard等人曾於1991/09/15在第二洞內開發下列路線：
太極 (8m)、偷窺 (8m)、Hand Jam (8m)、Layback (8m)、雙龍抱，難度約5.8-5.10。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"洞外岩壁
Cave Rock",# 220.1,"私設上方固定點 (未收錄)
Top Anchor (Unlisted)",5.7,傳攀 | Trad,,,,上方固定點，設置日期不詳,●●●,,,,,,,,,,,,,,,,,,,Ti-TTG,Ti-TTG,,,,2,,,2017發現，設置日期 / 設置人員不詳
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,2017,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 年,8 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 220.2,"私設上方固定點 (未收錄)
Top Anchor (Unlisted)",,,,,,天然固定點，設置日期不詳,●●●,,,,,,,,,,,,,,,,,,,Ti-TTG,Ti-TTG,,,,2,,,2017發現，設置日期 / 設置人員不詳
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,2017,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 年,8 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 221,"洞外東面路線1
CRE1",5.11d,上方架繩 | Toprope,8 m,,,Bolt 數量待確認,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 222,"洞外東面路線2
CRE2",5.10d,上方架繩 | Toprope,8 m,,,Bolt 數量待確認,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 223,"煙囪階梯
Stepcrack Chimney",5.4,傳攀 | Trad,8 m,,,Bolt 數量待確認,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 224,"鱷魚皮
Gator Skin",5.5,傳攀 | Trad,8 m,,,Bolt 數量待確認,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 225,"右傾內角
Right Facing Dihedral",5.5,上方架繩 | Toprope,8 m,,,需自行架設固定點,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 226,"洞穴石裂隙
Cave Rock Handcrack ",5.5,上方架繩 | Toprope,8 m,,,需自行架設固定點,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 227,"斜板寬裂隙
Slabby OW",5.5,傳攀 | Trad,10 m,,,需自行架設固定點,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 228,"小石柱右面
Small Pillar- Right Side",5.6,傳攀 | Trad,10 m,,,需自行架設固定點,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 229,"吹吹風
Breezy",5.7,傳攀 | Trad,12 m,,,,●●●,,,,,,,,,,,,,,,,,,,316-FX,316-TW,,,,2,已拉測,2020 / 03 / 26 (週四),2020/03/26 -  8 kN / 1 min / ×5次 - 合格 (Maurice、Jam、阿明)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,2011,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 / 03 / 26,2020 / 03 / 26,,,,,,,
,# 230,"西道
Westbound Road",5.10b,傳攀 | Trad,12 m,"吳招坤
Jau-Kuen Wu",,,●●●,,,,,,,,,,,,,,,,,,,316-FX,316-TW,,,,2,已拉測,2020 / 03 / 26 (週四),2020/03/26 -  8 kN / 1 min / ×5次 - 合格 (Maurice、Jam、阿明)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,2012,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13 年,13 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 / 03 / 26,2020 / 03 / 26,,,,,,,
,# 231,"古風
Ancient Wind",5.11c,上方架繩 | Toprope,14 m,"朴來慶 (上方架繩)
Yum Yum (FTRA)",1998 / 10 / 12,與 <西道> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 232,"老樹
Old Tree",5.11a,上方架繩 | Toprope,14 m,"吳招坤 (上方架繩)
Jau-Kuen Wu (FTRA)",,與 <西道> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 233,"地下一樓
One Floor Down",5.12d,上方架繩 | Toprope,14 m,"朴來慶 (上方架繩)
Yum Yum (FTRA)",1998 / 10 / 12,與 <西道> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 234,"昏鴉
The Crow",5.8,傳攀 | Trad,14 m,,,,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,,,2,已拉測,2020 / 03 / 26 (週四),2020/03/26 -  8 kN / 1 min / ×5次 - 合格 (Maurice、Jam、阿明)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,2012,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13 年,13 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 / 03 / 26,2020 / 03 / 26,,,,,,,
,# 235,"裂隙路線
Crack Line",5.11c,傳攀 | Trad,11 m,"朴來慶
Yum Yum",1998 / 10 / 12,,●●●,,,,,,,,,,,,,,,,,,,Ti-TW,Ti-TW,,,,2,已更新,2018 / 10 / 06 (週六),2018/10/06 - Anchor 更新為 Ti-TW (阿郎、阿寶、老爹)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018 / 10 / 06,2018 / 10 / 06,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 年,7 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 236,"大黃蜂巢 (舊名：蜂巢)
Hornet’s Nest",5.11a,傳攀 | Trad,11 m,"朴來慶
Yum Yum",1998 / 10 / 12,與 <裂隙路線> 共⽤ Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
