"  校門口
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 541,"太麻煩
Tai Ma Fan",5.7,傳攀 | Trad,,,,"需自行架設確保站
再以 <阿彌陀佛> 的 Anchor 垂降",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 542,"阿彌陀佛
Stepover",5.10b,運攀 | Sport,,"王大濟
Ta-Chi Wang",,,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,,316-TW,316-TW,梅隆鎖-316,垂降環-316,10,已拉測,2020 / 06 / 18 (週四),"[Pulltest]20618全線測試,bolt已清點(至堯致華)
Bolt安裝日期待查 (預設為1月1日)
–
181027:B01 合格 - 8 kN / 1 min / ×5次 (老爹、小嵐、小魏)"
,,,,,,,,,,2006,2006,2006,2006,2006,2006,2006,2006,,,,,,,,,,,2006,2006,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,19 年,19 年,19 年,19 年,19 年,19 年,19 年,19 年,,,,,,,,,,,19 年,19 年,2020 / 03 / 01,2020 / 03 / 01,,,,
,,,,,,,,,,2020 / 06 / 18,2020 / 06 / 18,2020 / 06 / 18,2020 / 06 / 18,2020 / 06 / 18,2020 / 06 / 18,2020 / 06 / 18,2020 / 06 / 18,,,,,,,,,,,2020 / 06 / 18,2020 / 06 / 18,5 年,5 年,,,,
,,,,,,,,,,2018 / 10 / 27,,,,,,,,,,,,,,,,,,,,,,,,,
,# 543,"洞穴人 (無人完攀)
Caveman boulder",5.??,抱石 | Boulder,,,,,●●●,,,,,,,,,,,,,,,,,,,無 Anchor,無 Anchor,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 544,"東方不敗
Stairway to Heaven",5.10b,傳攀 | Trad,,,,與 <阿彌陀佛> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 545,"冥想
Meditation 
(舊名：投胎)",5.12b,運攀 | Sport,10 m,"朴來慶 (上方架繩)
Yum Yum (FTRA)",,,●●●,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,,,,,,316-TW,316-TW,固定點與 547共用？,,6,已拉測,2018 / 10 / 27 (週六),"Bolt安裝日期待查 (預設為1月1日)
–
B02 合格 - 8 kN / 1 min / ×5次 (老爹、小嵐、小魏)"
,,,,,,,,,,2006,2006,2006,2006,,,,,,,,,,,,,,,2006,2006,,,,,,
,,,,,,,,,,19 年,19 年,19 年,19 年,,,,,,,,,,,,,,,19 年,19 年,,,,,,
,,,,,,,,,,,2018 / 10 / 27,,,,,,,,,,,,,,,,,,,,,,,,
